keyword,count
flask,8
python,34
git,22
windows,6
html,4
machine learning,11
github,12
django,45
keras,1
go,5
javascript,6
scikit-learn,1
numpy,1
pandas,4
matplotlib,1
pytorch,3
backend development,1
frontend development,1
docker,48
kubernetes,6
linux,2
postgresql,6
mysql,2
redis,3
heroku,1
react.js,2
css,2
macos,1
bootstrap,1
aws,1
